,time,open,high,low,close,tick_volume,spread,real_volume
32624,1667406000,0.98855,0.98859,0.9883,0.98836,121,0,0
32625,1667406060,0.98835,0.98837,0.98815,0.98829,118,0,0
32626,1667406120,0.98828,0.98856,0.98825,0.9885,104,0,0
32627,1667406180,0.98849,0.98851,0.98835,0.9885,93,0,0
32628,1667406240,0.9885,0.98856,0.9884,0.98845,84,0,0
32629,1667406300,0.98845,0.98871,0.98839,0.98849,150,0,0
32630,1667406360,0.9885,0.98866,0.98839,0.98859,86,0,0
32631,1667406420,0.98859,0.98865,0.98844,0.98855,100,0,0
32632,1667406480,0.98855,0.9887,0.98849,0.9886,92,0,0
32633,1667406540,0.9886,0.98878,0.98845,0.98871,105,0,0
32634,1667406600,0.98871,0.98889,0.98856,0.98882,130,0,0
32635,1667406660,0.98882,0.98882,0.98844,0.98848,124,0,0
32636,1667406720,0.98848,0.98861,0.98841,0.98848,126,0,0
32637,1667406780,0.98848,0.98864,0.98838,0.98854,111,0,0
32638,1667406840,0.98855,0.9886,0.98822,0.98825,93,0,0
32639,1667406900,0.98826,0.98836,0.98816,0.98829,125,0,0
32640,1667406960,0.98828,0.98839,0.9882,0.98823,118,0,0
32641,1667407020,0.98823,0.98832,0.98813,0.98824,119,0,0
32642,1667407080,0.98824,0.98834,0.9879,0.98798,96,0,0
32643,1667407140,0.98798,0.98828,0.98783,0.98825,121,0,0
32644,1667407200,0.98824,0.98865,0.98824,0.98842,102,0,0
32645,1667407260,0.98841,0.98844,0.98823,0.98825,96,0,0
32646,1667407320,0.98825,0.98837,0.98823,0.98828,94,0,0
32647,1667407380,0.98826,0.98835,0.98815,0.98818,110,0,0
32648,1667407440,0.98816,0.98819,0.98801,0.98801,93,0,0
32649,1667407500,0.988,0.988,0.98783,0.98795,69,0,0
32650,1667407560,0.98795,0.98802,0.98776,0.98776,114,0,0
32651,1667407620,0.98775,0.98798,0.98766,0.98791,128,0,0
32652,1667407680,0.9879,0.98801,0.98779,0.9878,104,0,0
32653,1667407740,0.98781,0.98804,0.98776,0.98795,103,0,0
32654,1667407800,0.98796,0.9881,0.98775,0.98777,83,0,0
32655,1667407860,0.98775,0.9878,0.98732,0.98736,98,0,0
32656,1667407920,0.98736,0.98748,0.98729,0.98739,120,0,0
32657,1667407980,0.98739,0.98756,0.98729,0.98732,118,0,0
32658,1667408040,0.98732,0.98773,0.98725,0.98771,91,0,0
32659,1667408100,0.9877,0.98777,0.98749,0.9877,89,0,0
32660,1667408160,0.9877,0.98785,0.98761,0.98783,106,0,0
32661,1667408220,0.98783,0.98792,0.98775,0.98791,94,0,0
32662,1667408280,0.98791,0.98803,0.98783,0.98788,97,0,0
32663,1667408340,0.98788,0.98788,0.98734,0.98734,105,0,0
32664,1667408400,0.98735,0.98746,0.98701,0.98705,211,0,0
32665,1667408460,0.98707,0.98719,0.98681,0.98699,137,0,0
32666,1667408520,0.987,0.98714,0.98677,0.98691,112,0,0
32667,1667408580,0.98693,0.98741,0.98693,0.98729,172,0,0
32668,1667408640,0.9873,0.98741,0.98708,0.9871,135,0,0
32669,1667408700,0.9871,0.98724,0.98689,0.98701,139,0,0
32670,1667408760,0.98699,0.98724,0.98699,0.98724,187,0,0
32671,1667408820,0.98723,0.98739,0.987,0.98717,142,0,0
32672,1667408880,0.98717,0.98717,0.98668,0.98673,107,0,0
32673,1667408940,0.98672,0.98691,0.98672,0.98691,87,0,0
32674,1667409000,0.9869,0.98696,0.98678,0.98683,110,0,0
32675,1667409060,0.98682,0.98691,0.98669,0.9869,110,0,0
32676,1667409120,0.98692,0.98692,0.98674,0.98676,129,0,0
32677,1667409180,0.98676,0.98681,0.98644,0.9867,140,0,0
32678,1667409240,0.9867,0.9871,0.98667,0.98699,127,0,0
32679,1667409300,0.98698,0.98721,0.98695,0.98719,150,0,0
32680,1667409360,0.98719,0.9873,0.9871,0.9873,104,0,0
32681,1667409420,0.9873,0.9874,0.9872,0.98735,94,0,0
32682,1667409480,0.98736,0.98757,0.98719,0.9873,114,0,0
32683,1667409540,0.98727,0.98748,0.98725,0.98747,108,0,0
32684,1667409600,0.98747,0.98752,0.98734,0.98737,122,0,0
32685,1667409660,0.98737,0.98741,0.98719,0.98739,111,0,0
32686,1667409720,0.98739,0.98739,0.98719,0.98723,81,0,0
32687,1667409780,0.9872,0.98738,0.98715,0.9873,126,0,0
32688,1667409840,0.9873,0.98738,0.98724,0.98735,105,0,0
32689,1667409900,0.98732,0.98759,0.98732,0.98751,88,0,0
32690,1667409960,0.98751,0.98758,0.98729,0.98755,121,0,0
32691,1667410020,0.98755,0.98772,0.98744,0.98771,102,0,0
32692,1667410080,0.98771,0.98781,0.98749,0.98759,108,0,0
32693,1667410140,0.9876,0.98769,0.98747,0.98765,116,0,0
32694,1667410200,0.98763,0.98765,0.98748,0.98759,110,0,0
32695,1667410260,0.98758,0.98767,0.98744,0.9876,91,0,0
32696,1667410320,0.9876,0.9876,0.98745,0.98745,107,0,0
32697,1667410380,0.98745,0.98745,0.98722,0.98738,107,0,0
32698,1667410440,0.98739,0.98767,0.98739,0.98757,129,0,0
32699,1667410500,0.98757,0.98771,0.98754,0.98762,99,0,0
32700,1667410560,0.98762,0.98795,0.9876,0.98793,94,0,0
32701,1667410620,0.98792,0.98803,0.98787,0.988,101,0,0
32702,1667410680,0.988,0.98806,0.98793,0.98793,61,0,0
32703,1667410740,0.9879,0.98796,0.98773,0.98789,102,0,0
32704,1667410800,0.98788,0.98794,0.98782,0.98788,121,0,0
32705,1667410860,0.98788,0.98817,0.98781,0.98816,92,0,0
32706,1667410920,0.98817,0.9884,0.98815,0.9884,96,0,0
32707,1667410980,0.9884,0.98861,0.9884,0.98855,124,0,0
32708,1667411040,0.98854,0.98854,0.98792,0.98805,144,0,0
32709,1667411100,0.98805,0.98828,0.98804,0.98822,123,0,0
32710,1667411160,0.9882,0.98821,0.98797,0.98797,94,0,0
32711,1667411220,0.98795,0.98797,0.98754,0.98769,122,0,0
32712,1667411280,0.9877,0.9878,0.98763,0.98766,103,0,0
32713,1667411340,0.98767,0.98779,0.98755,0.98775,115,0,0
32714,1667411400,0.98775,0.98781,0.98743,0.98751,128,0,0
32715,1667411460,0.9875,0.98754,0.98723,0.98734,125,0,0
32716,1667411520,0.98732,0.98752,0.98727,0.9875,98,0,0
32717,1667411580,0.9875,0.98767,0.98742,0.98751,104,0,0
32718,1667411640,0.9875,0.98756,0.98739,0.98753,90,0,0
32719,1667411700,0.98753,0.98766,0.98735,0.98741,104,0,0
32720,1667411760,0.98746,0.98748,0.98711,0.98721,122,0,0
32721,1667411820,0.98721,0.98726,0.98707,0.98712,160,0,0
32722,1667411880,0.98712,0.98727,0.98704,0.98717,161,0,0
32723,1667411940,0.98717,0.98747,0.98714,0.98744,213,0,0
32724,1667412000,0.98744,0.98746,0.9871,0.98716,191,0,0
32725,1667412060,0.98715,0.9872,0.98691,0.98712,189,0,0
32726,1667412120,0.98711,0.98729,0.98701,0.98728,146,0,0
32727,1667412180,0.98726,0.98729,0.98718,0.98719,66,0,0
32728,1667412240,0.98719,0.98734,0.98711,0.98733,49,0,0
32729,1667412300,0.98733,0.98764,0.98733,0.98764,85,0,0
32730,1667412360,0.98765,0.98765,0.98739,0.98739,63,0,0
